source_rack,target_rack,source_row,source_col,target_row,target_col,manhattan_distance,euclidean_m,source_delta_power_W,delta_inlet_K,delta_inlet_K_per_kW
130,20,6,10,1,0,15,13.416407864998739,13933.386270527943,1.3047789582998348e-05,9.364406706069136e-07
130,21,6,10,1,1,14,13.159027319676785,13933.386270527943,1.7179162469460607e-05,1.2329495598495082e-06
130,22,6,10,1,2,13,12.924395537122809,13933.386270527943,2.126761948773037e-05,1.5263783745603811e-06
130,23,6,10,1,3,12,12.713772060250253,13933.386270527943,2.4632051022877022e-05,1.7678438352763548e-06
130,24,6,10,1,4,11,12.52836781069266,13933.386270527943,2.7079118847694872e-05,1.9434700453954206e-06
130,25,6,10,1,5,10,12.36931687685298,13933.386270527943,2.8567084523700714e-05,2.050261434589389e-06
130,26,6,10,1,6,9,12.237646832622683,13933.386270527943,2.911492626012091e-05,2.089580070115844e-06
130,27,6,10,1,7,8,12.134249049694011,13933.386270527943,2.8812504258013405e-05,2.0678752241985814e-06
130,28,6,10,1,8,7,12.059850745345068,13933.386270527943,2.7867844316631363e-05,2.000076921399771e-06
130,29,6,10,1,9,6,12.014990636700473,13933.386270527943,2.6639738184286443e-05,1.9119356678308074e-06
130,30,6,10,1,10,5,12.0,13933.386270527943,2.550835073478197e-05,1.8307359201501164e-06
130,31,6,10,1,11,6,12.014990636700473,13933.386270527943,2.4308890893109947e-05,1.7446506126460005e-06
130,32,6,10,1,12,7,12.059850745345068,13933.386270527943,2.1778538055627905e-05,1.5630470319834683e-06
130,33,6,10,1,13,8,12.134249049694011,13933.386270527943,1.73008831119148e-05,1.241685457935651e-06
130,34,6,10,1,14,9,12.237646832622683,13933.386270527943,1.1891808469499665e-05,8.534758341303832e-07
130,35,6,10,1,15,10,12.36931687685298,13933.386270527943,6.445188773795962e-06,4.62571599513386e-07
130,36,6,10,1,16,11,12.52836781069266,13933.386270527943,1.4137470500941163e-06,1.0146471379211601e-07
130,37,6,10,1,17,12,12.713772060250253,13933.386270527943,-2.962899319669532e-06,-2.1264746861548584e-07
